sample_id	raw_r1	raw_r2
ID_ML-54	20098D-04-259_S91_L002_R1_001.fastq.gz	20098D-04-259_S91_L002_R2_001.fastq.gz
ID_ML98	20098D-04-260_S92_L002_R1_001.fastq.gz	20098D-04-260_S92_L002_R2_001.fastq.gz
ID_MML_ML6	20098D-04-261_S93_L002_R1_001.fastq.gz	20098D-04-261_S93_L002_R2_001.fastq.gz
ID_MML_ML62	20098D-04-262_S94_L002_R1_001.fastq.gz	20098D-04-262_S94_L002_R2_001.fastq.gz
ID_MML_ML63	20098D-04-263_S95_L002_R1_001.fastq.gz	20098D-04-263_S95_L002_R2_001.fastq.gz
ID_MML_ML70	20098D-04-264_S96_L002_R1_001.fastq.gz	20098D-04-264_S96_L002_R2_001.fastq.gz
ID_MML_ML75	20098D-04-265_S130_L002_R1_001.fastq.gz	20098D-04-265_S130_L002_R2_001.fastq.gz
ID_MML_ML76	20098D-04-266_S131_L002_R1_001.fastq.gz	20098D-04-266_S131_L002_R2_001.fastq.gz
ID_MML_ML77	20098D-04-267_S97_L002_R1_001.fastq.gz	20098D-04-267_S97_L002_R2_001.fastq.gz
ID_ML78	20098D-04-268_S98_L002_R1_001.fastq.gz	20098D-04-268_S98_L002_R2_001.fastq.gz
ID_ML8	20098D-04-269_S99_L002_R1_001.fastq.gz	20098D-04-269_S99_L002_R2_001.fastq.gz
ID_MML_ML80	20098D-04-270_S100_L002_R1_001.fastq.gz	20098D-04-270_S100_L002_R2_001.fastq.gz
ID_MML_ML84	20098D-04-271_S101_L002_R1_001.fastq.gz	20098D-04-271_S101_L002_R2_001.fastq.gz
ID_MML_ML88	20098D-04-272_S102_L002_R1_001.fastq.gz	20098D-04-272_S102_L002_R2_001.fastq.gz
ID_ML89	20098D-04-273_S132_L002_R1_001.fastq.gz	20098D-04-273_S132_L002_R2_001.fastq.gz
ID_MML_ML90	20098D-04-274_S133_L002_R1_001.fastq.gz	20098D-04-274_S133_L002_R2_001.fastq.gz
ID_RRT_Ac120	20098D-04-275_S103_L002_R1_001.fastq.gz	20098D-04-275_S103_L002_R2_001.fastq.gz
ID_RRT_Ac121	20098D-04-276_S104_L002_R1_001.fastq.gz	20098D-04-276_S104_L002_R2_001.fastq.gz
ID_RRT_Ac122	20098D-04-277_S105_L002_R1_001.fastq.gz	20098D-04-277_S105_L002_R2_001.fastq.gz
ID_RRT_Ac123	20098D-04-278_S106_L002_R1_001.fastq.gz	20098D-04-278_S106_L002_R2_001.fastq.gz
ID_RRT_Ac126	20098D-04-279_S134_L002_R1_001.fastq.gz	20098D-04-279_S134_L002_R2_001.fastq.gz
ID_RRT_FM12	20098D-04-280_S107_L002_R1_001.fastq.gz	20098D-04-280_S107_L002_R2_001.fastq.gz
ID_FM-13	20098D-04-281_S135_L002_R1_001.fastq.gz	20098D-04-281_S135_L002_R2_001.fastq.gz
ID_RRT_FM19	20098D-04-282_S136_L002_R1_001.fastq.gz	20098D-04-282_S136_L002_R2_001.fastq.gz
ID_FM-20	20098D-04-283_S108_L002_R1_001.fastq.gz	20098D-04-283_S108_L002_R2_001.fastq.gz
ID_RRT_FM5	20098D-04-284_S109_L002_R1_001.fastq.gz	20098D-04-284_S109_L002_R2_001.fastq.gz
ID_RRT_FM6	20098D-04-285_S110_L002_R1_001.fastq.gz	20098D-04-285_S110_L002_R2_001.fastq.gz
ID_FM-7	20098D-04-286_S111_L002_R1_001.fastq.gz	20098D-04-286_S111_L002_R2_001.fastq.gz
ID_FM-9	20098D-04-287_S112_L002_R1_001.fastq.gz	20098D-04-287_S112_L002_R2_001.fastq.gz
ID_RRT_K1	20098D-04-288_S113_L002_R1_001.fastq.gz	20098D-04-288_S113_L002_R2_001.fastq.gz
ID_RRT_K2	20098D-04-289_S17_L005_R1_001.fastq.gz	20098D-04-289_S17_L005_R2_001.fastq.gz
